time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
1059,416.87,-5964.98,196608,185,96,16838.673828125,0.00087890625,-0.450957144331187,950,0.4019504189491272,-0.0011535162360814867,0.000853367,0.0003,0.2,31403.092877197265
1074,410.07,-5807.81,198656,184,97,21623.251953125,0.024072265625,-0.43996107671409845,960,0.38919955492019653,-0.0031033220948302187,0.0020853907,0.0003,0.2,33303.76937866211
1090,402.39,-5626.52,200704,184,98,11448.798828125,0.00498046875,-0.41750706676393745,970,0.4208149313926697,-0.001415190838451963,0.0009951007,0.0003,0.2,31572.605310058592
1110,394.05,-5417.69,202752,182,99,13608.3544921875,0.030126953125,-0.3932650006376207,980,0.3772193193435669,-0.003983379850251367,0.0024016323,0.0003,0.2,25548.986596679686
1128,387.5,-5239.11,204800,181,100,13186.615234375,0.021728515625,-0.389865892380476,990,0.38189786672592163,-0.0028940264659468085,0.0023840766,0.0003,0.2,29633.33638305664
1142,378.63,-5007.45,206848,181,101,13147.40234375,0.001904296875,-0.38960383804515003,1000,0.3864033818244934,-0.0006692393078992609,0.00073979027,0.0003,0.2,24395.756552124025
1155,372.51,-4852.27,208896,180,102,10639.7783203125,0.01318359375,-0.3784715505782515,1010,0.3918963670730591,-0.0018366500997217372,0.0021737078,0.0003,0.2,23817.379919433595
1184,365.62,-4674.29,210944,178,103,8501.09765625,0.01943359375,-0.37618651930242775,1020,0.37581461668014526,-0.0013096801107167267,0.0013869635,0.0003,0.2,28201.871911621092
1204,360.48,-4527.65,212992,176,104,8989.3486328125,0.016455078125,-0.3593426159117371,1030,0.4086494445800781,-0.002475399573449977,0.002576055,0.0003,0.2,22477.064538574217
1221,354.61,-4376.74,215040,176,105,13087.35546875,0.004638671875,-0.3706183634698391,1040,0.40782856941223145,-0.0017261243119719438,0.0007681359,0.0003,0.2,26849.784033203126
1235,347.69,-4214.6,217088,175,106,10655.712890625,0.005859375,-0.3650435965042561,1050,0.4086899757385254,-0.0016757206751208287,0.0012110057,0.0003,0.2,25390.746475219727
1250,341.94,-4072.16,219136,175,107,11338.5517578125,0.0052734375,-0.3555580584798008,1060,0.42374932765960693,-0.001573607929458376,0.0012350902,0.0003,0.2,24478.621151733398
1264,337.32,-3956.76,221184,174,108,14133.5126953125,0.0142578125,-0.34469090336933733,1070,0.4703443646430969,-0.0015122765922569669,0.0015606134,0.0003,0.2,20552.27233276367
1279,334.7,-3920.85,223232,174,109,18245.814453125,0.01513671875,-0.3181529758498073,1080,0.3603266477584839,-0.00274383194046095,0.0012671165,0.0003,0.2,27353.26287536621
1302,327.01,-3737.29,225280,173,110,9806.4189453125,0.018505859375,-0.3093638835474849,1090,0.4618540406227112,-0.0023222347823320887,0.0021572658,0.0003,0.2,19251.376718139647
1317,321.08,-3606.48,227328,172,111,11641.638671875,0.01474609375,-0.2904985373374075,1100,0.4473326802253723,-0.0022825580075732433,0.0018102725,0.0003,0.2,17681.387426757814
1331,316.44,-3510.21,229376,172,112,5519.826171875,0.008349609375,-0.2816422867588699,1110,0.4631316661834717,-0.0015998041635612026,0.0010360818,0.0003,0.2,17323.03834686279
1352,310.06,-3352.16,231424,171,113,13231.6552734375,0.008349609375,-0.2757947980426252,1120,0.43880510330200195,-0.0022582828212762253,0.0013573827,0.0003,0.2,18132.119387817384
1371,305.63,-3257.14,233472,170,114,12699.3408203125,0.0150390625,-0.271306671993807,1130,0.38113367557525635,-0.0026249599759466946,0.0023212908,0.0003,0.2,19327.73871459961
1385,299.83,-3150.42,235520,170,115,9490.783203125,0.004443359375,-0.2731500702910125,1140,0.4071651101112366,-0.00185802962660091,0.0016907679,0.0003,0.2,20320.70118408203
1399,291.93,-2983.57,237568,169,116,9898.744140625,0.005419921875,-0.25960030909627674,1150,0.4199332594871521,-0.002798748531131423,0.0012244952,0.0003,0.2,17195.393197631834
1415,286.58,-2873.13,239616,169,117,2675.806396484375,0.006591796875,-0.28092035921290515,1160,0.41258537769317627,-0.0012486301406170242,0.0010877781,0.0003,0.2,15641.38131942749
1431,278.68,-2699.04,241664,168,118,10169.5087890625,0.00693359375,-0.2780888206791133,1170,0.403270959854126,-0.0011129003505629953,0.0009545298,0.0003,0.2,17079.44292449951
1446,271.74,-2540.67,243712,168,119,15176.193359375,0.004736328125,-0.2745104135945439,1180,0.3797811269760132,-0.001496570745803183,0.0006960742,0.0003,0.2,19317.627114868163
1464,265.99,-2417.45,245760,167,120,4464.93896484375,0.025537109375,-0.26838966985233126,1190,0.3844835162162781,-0.002866403375810478,0.0016442207,0.0003,0.2,17554.446185302735
1480,260.0,-2285.03,247808,167,121,3427.404052734375,0.03056640625,-0.2604298620019108,1200,0.42071932554244995,-0.002385313139529899,0.001234713,0.0003,0.2,15889.202807617188
1495,255.59,-2192.61,249856,167,122,12240.154296875,0.00966796875,-0.2639931801240891,1210,0.3501853346824646,-0.0023791368315869478,0.0015282538,0.0003,0.2,20610.545704650878
1511,251.06,-2095.06,251904,166,123,5766.44873046875,0.01708984375,-0.23514766478911042,1220,0.3734700083732605,-0.002157180439098738,0.00178636,0.0003,0.2,17819.419887542725
1527,245.3,-1982.79,253952,166,124,12640.1474609375,0.006982421875,-0.21806343607604503,1230,0.3717392683029175,-0.0013649054773850367,0.0010359368,0.0003,0.2,17053.050639343262
1544,240.69,-1900.47,256000,165,125,4110.869140625,0.00400390625,-0.22123382382560522,1240,0.3122917413711548,-0.0009671918873209506,0.0006114305,0.0003,0.2,19503.98225402832
1566,236.73,-1824.0,258048,164,126,6549.23974609375,0.019677734375,-0.2282835826743394,1250,0.3593822121620178,-0.0012691324816842097,0.0032434692,0.0003,0.2,17026.100034713745
1586,235.53,-1800.29,260096,163,127,7521.2001953125,0.002978515625,-0.23377257250249386,1260,0.37403011322021484,-0.0008317140705912607,0.0006779996,0.0003,0.2,15655.208120727539
1608,232.25,-1743.64,262144,162,128,12138.4072265625,0.017724609375,-0.22782467673532664,1270,0.35360103845596313,-0.001752234311425127,0.0019461946,0.0003,0.2,17860.07286224365
