rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_range,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction
-69.673,109.4,286720,31,70,9171,0.3,690,0.7709000110626221,357.081298828125,0.009563345,-0.0013695118657778948,0.00025,-0.3371234489604831,719.2726329803467,0.005517578125
-61.34,110.7,290816,29,71,9710,0.3,700,0.7869065999984741,350.9208679199219,0.008679563,-0.0013207495052483865,0.00025,-0.3519926642999053,655.3063083648682,0.0
-70.625,108.11,294912,28,72,10283,0.3,710,0.7820281982421875,417.4638977050781,0.0011018345,-0.0006646743480814621,0.00025,-0.33158446531742813,803.0283519744874,0.0
-69.36399999999999,107.8,299008,27,73,10855,0.3,720,0.7366756200790405,278.1122741699219,0.0036133612,-0.0005677101398759987,0.00025,-0.3231081018224359,741.7817436218262,0.0
-72.389,108.28,303104,26,74,11413,0.3,730,0.7729173302650452,344.9317932128906,0.004287364,-0.0008590810502937529,0.00025,-0.33280439786612986,733.7520072937011,0.0
-66.414,111.44,307200,25,75,11952,0.3,740,0.7734671235084534,298.4034423828125,0.004092749,-0.0004245717325829901,0.00025,-0.3348197879269719,653.3612422943115,0.0
-69.937,113.57,311296,24,76,12514,0.3,750,0.8033502697944641,261.76324462890625,0.0018249485,-0.0005537771117815282,0.00025,-0.34486058447510004,542.4884073257447,0.0
-70.709,113.8,315392,24,77,13096,0.3,760,0.8281524181365967,201.89051818847656,0.006354239,-0.0013226368573668879,0.00025,-0.34062447790056466,470.2341375350952,0.007666015625
-71.605,113.51,319488,23,78,13655,0.3,770,0.7782242894172668,262.13031005859375,0.0028252832,-0.000832436372002121,0.00025,-0.32784882448613645,574.432479095459,0.0011474609375
-71.084,112.07,323584,22,79,14265,0.3,780,0.7492318153381348,300.209716796875,0.0057298024,-0.0010803044133353978,0.00025,-0.3478385109454393,648.4773090362548,0.0046630859375
-73.443,111.87,327680,22,80,14871,0.3,790,0.7635144591331482,319.4541931152344,0.00094670814,-0.0006550422018335667,0.00025,-0.341020742803812,636.1826778411865,0.0
-77.37899999999999,110.88,331776,21,81,15541,0.3,800,0.7733551263809204,293.26287841796875,0.0027740756,-0.00039673039282206446,0.00025,-0.35666292496025565,688.9020332336426,0.0
-67.747,113.8,335872,20,82,16150,0.3,810,0.7923139333724976,230.2965545654297,0.011619151,-0.0035506105377862696,0.00025,-0.34033363703638314,517.2711908340455,0.0154541015625
-64.68400000000001,115.31,339968,20,83,16751,0.3,820,0.821026086807251,248.52857971191406,0.0041403407,-0.0007891197674325667,0.00025,-0.3511042922735214,526.7562530517578,0.0
-64.93,117.74,344064,19,84,17341,0.3,830,0.7985860109329224,274.8539733886719,0.0100942645,-0.0018551254121121018,0.00025,-0.33070033248513936,647.8145500183106,0.0029541015625
-63.80799999999999,118.39,348160,19,85,17954,0.3,840,0.8052002787590027,289.12493896484375,0.0029132066,-0.00039763923123246057,0.00025,-0.3356942478567362,664.4015176773071,0.0
-66.96800000000002,118.08,352256,18,86,18575,0.3,850,0.7969887256622314,332.337646484375,0.0013789779,-0.0003289391082944348,0.00025,-0.34202464688569306,712.4599731445312,0.0
-66.495,118.48,356352,18,87,19217,0.3,860,0.7762362957000732,380.65850830078125,0.008311937,-0.002436598704662174,0.00025,-0.3164572786539793,802.2600208282471,0.002294921875
