#{"t_start": 1744852308.4564278, "env_id": "None"}
r,l,t
-21.5,379,1203.433361
-20.5,369,1206.139477
-22.0,385,1208.602954
-20.0,385,1214.873229
-22.0,363,1217.050962
-21.5,382,1219.875572
-47.5,373,1222.3181
-21.0,380,1229.327262
-22.5,358,1233.388033
-22.5,371,1238.000382
-21.5,365,1239.776589
-21.5,365,1245.558247
-22.0,376,1248.08996
-20.5,374,1251.210388
-22.5,368,1253.108584
-22.0,369,1260.058837
-20.5,361,1261.981424
-21.5,362,1266.906541
-22.0,378,1268.012193
-21.5,371,1276.004452
-22.5,360,1277.422986
-22.5,382,1283.060238
-21.0,369,1284.676463
-21.0,350,1290.561973
-22.0,367,1292.044436
-22.0,379,1298.311813
-47.0,368,1299.304034
-20.5,366,1305.461982
-22.0,371,1306.933213
-48.0,367,1313.401034
-21.0,364,1314.196394
-21.5,363,1321.465395
-22.0,379,1323.436599
-21.5,355,1328.008786
-21.5,368,1328.469599
-21.0,384,1335.351652
-23.0,351,1337.272592
-20.5,362,1343.924826
-23.5,371,1345.381487
-21.5,352,1351.274993
-20.5,370,1353.182738
-48.0,349,1359.704
-20.5,372,1360.586736
-21.0,366,1367.69469
-22.0,349,1369.548239
-21.5,362,1377.858564
-21.0,358,1378.531436
-21.0,371,1384.582156
-21.5,381,1386.432766
-21.5,359,1390.501225
-22.0,366,1390.75788
-20.0,359,1397.577324
-21.0,369,1400.815938
-48.5,355,1405.205222
-48.5,372,1406.987
-22.0,369,1414.624129
-22.0,363,1417.478714
-21.0,355,1423.198386
-22.5,384,1426.069325
-21.0,358,1433.671352
-21.5,368,1435.589269
-22.0,384,1441.617467
-21.0,360,1443.022115
-22.5,366,1450.121447
-21.5,352,1453.731567
-22.0,357,1459.373098
-22.5,369,1461.26868
-21.0,364,1467.731072
-23.0,378,1470.304668
-21.5,369,1475.308414
-48.0,363,1476.968439
-22.5,365,1483.458085
-22.5,349,1484.878439
-22.5,371,1491.496578
-22.0,354,1492.605817
-48.0,362,1500.919308
-21.0,367,1502.396157
-21.0,365,1509.107506
-23.0,363,1509.907917
-47.0,337,1516.059971
-22.0,350,1517.982027
-21.5,343,1524.778213
-21.0,356,1526.158534
-21.5,357,1532.732996
-22.5,326,1534.207195
-20.5,349,1540.849278
-22.5,361,1542.35873
-21.5,353,1550.304364
-20.5,344,1550.91098
-21.5,367,1557.369612
-21.0,369,1558.882959
-20.0,334,1564.933315
-20.0,344,1565.5318
-22.0,368,1572.034219
-22.0,364,1574.124681
-21.0,366,1579.313604
-21.5,381,1580.421426
-21.5,353,1587.161457
-47.0,362,1589.361914
-20.5,350,1596.00196
-21.0,349,1597.170169
-47.0,370,1603.699392
-22.0,356,1606.385892
-22.0,342,1610.207001
-22.5,363,1611.653768
-22.5,353,1618.143147
-21.5,349,1620.15059
-20.5,364,1624.883409
-22.0,371,1626.642427
-47.0,350,1633.925035
-48.0,368,1637.03043
-21.0,328,1640.361587
-21.5,352,1641.067014
-21.5,349,1648.141403
-47.5,367,1651.445065
-22.5,345,1654.626334
-22.5,353,1655.000674
-22.0,343,1663.144172
-21.5,351,1667.702856
-21.0,362,1670.83732
-22.0,371,1671.697453
-21.5,358,1681.14131
-48.0,346,1684.346384
-22.0,345,1688.816056
-22.5,386,1691.942978
-21.0,345,1698.948179
-21.0,366,1702.013931
-20.5,352,1705.564641
-22.5,344,1708.326759
-22.5,358,1716.73185
-21.5,372,1721.138812
-19.5,321,1724.335358
-21.5,360,1724.335426
-22.5,376,1734.253232
-23.0,349,1738.585336
-21.0,353,1741.675605
-20.5,370,1743.363547
-20.5,355,1753.950549
-48.5,362,1757.069101
-19.5,330,1758.851135
-20.5,355,1761.019615
-22.0,368,1770.661832
-22.0,354,1773.592922
-21.5,351,1775.647556
-21.0,352,1778.403816
-22.0,357,1789.947676
-23.0,371,1793.308722
-21.0,362,1794.953174
-22.0,362,1798.540735
-48.5,379,1809.26211
-22.0,364,1812.249234
-21.5,367,1813.50741
-23.0,359,1816.017252
-20.5,361,1825.203858
-21.0,373,1827.683245
-20.0,347,1829.100572
-21.5,358,1831.487313
-22.5,343,1842.904046
-21.5,345,1846.245243
-21.5,351,1848.020891
-22.5,357,1851.515907
-21.0,374,1862.376555
-22.5,364,1864.101947
-23.0,374,1865.746261
-21.0,354,1867.561018
-23.0,368,1880.340806
-20.0,373,1882.358354
-22.5,359,1883.753821
-21.0,358,1886.725509
-22.0,358,1901.911356
-21.5,365,1903.639294
-20.5,361,1904.96411
-21.5,364,1906.905007
-22.0,370,1917.4299
-47.5,377,1919.15994
-21.5,378,1920.813061
-21.0,373,1922.859872
-20.5,369,1933.67723
-21.5,362,1936.625306
-20.0,363,1938.171913
-20.5,372,1939.949458
-21.0,378,1950.795198
-20.5,377,1952.631117
-23.0,372,1953.575797
-21.5,366,1955.506054
-21.0,358,1965.857538
-21.5,368,1968.100041
-22.0,377,1968.235656
-20.5,371,1969.945543
-20.0,359,1981.196258
-47.5,361,1984.71279
-47.0,388,1986.334529
-47.5,377,1988.736457
-21.5,367,1998.670832
-20.5,367,2002.571002
-20.0,368,2004.363082
-20.5,369,2006.319448
-21.0,368,2015.178717
-20.0,368,2018.438997
-22.5,374,2020.72194
-21.0,369,2022.682524
-19.5,376,2033.699397
-21.5,390,2037.36211
-20.5,374,2039.614495
-20.0,378,2041.609302
-20.0,365,2050.770539
-19.5,343,2054.903909
-22.0,377,2058.575097
-20.5,356,2058.846134
-21.0,356,2067.98246
-21.0,380,2072.454767
-21.5,356,2075.349715
-22.0,368,2076.644142
-20.5,370,2086.098578
-21.0,363,2089.767968
-20.0,351,2091.981569
-22.0,373,2093.476253
-21.0,384,2103.084918
-20.5,384,2105.028619
-21.5,353,2106.480953
-20.5,373,2107.589512
-21.0,375,2118.050845
-20.0,366,2121.401958
-20.0,377,2121.879579
-20.0,392,2122.529765
-20.5,384,2135.220976
-19.5,367,2137.108552
-22.5,380,2139.059613
-20.0,378,2139.556221
-20.0,361,2149.893389
-20.0,356,2151.868881
-20.0,370,2153.836807
-22.5,380,2155.695296
-20.0,358,2167.893014
-22.0,367,2171.717688
-21.0,357,2173.617609
-20.0,381,2176.50945
-20.0,370,2187.915889
-20.5,371,2191.60395
-21.0,370,2193.427394
-20.5,384,2197.129185
-21.5,387,2210.178807
-21.5,362,2213.827718
-22.0,378,2215.63592
-20.0,363,2219.385108
-20.0,373,2232.956278
-19.5,384,2237.131007
-21.5,390,2239.33635
-20.0,373,2241.932826
-21.0,387,2253.925167
-21.0,380,2256.485479
-21.5,372,2258.559589
-21.0,389,2262.449379
-21.0,392,2274.420519
-21.0,384,2277.109178
-21.0,375,2279.052815
