time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/n_updates
249856,103,2402,374.97,61,-21.90999984741211,5e-05,-0.007411538832820952,0.006463249,0.9985890984535217,0.2,-0.7859164698670308,0.08299153645833333,-0.014236412942409515,0.0258394627191592,900
253952,103,2457,376.62,62,-22.139999389648438,5e-05,-0.004682482488957854,0.0051822355,0.963333010673523,0.2,-0.7762327142059803,0.06287434895833334,-0.01231477688997984,0.2121585253897744,915
258048,102,2505,377.91,63,-21.364999771118164,5e-05,-0.004459561385010602,0.006038042,0.9900392889976501,0.2,-0.7851381475726763,0.06731770833333334,0.013304505497217178,0.05506427921354771,930
262144,102,2551,380.61,64,-21.405000686645508,5e-05,-0.006671927173010772,0.006928512,0.996204137802124,0.2,-0.811306684712569,0.06764322916666667,0.003697900101542473,0.031231363267094518,945
266240,102,2598,382.04,65,-21.420000076293945,5e-05,-0.004433193938651433,0.0064025642,0.9987133741378784,0.2,-0.8245032118012507,0.06344401041666667,-0.02327888458967209,0.03118499267535905,960
270336,102,2642,383.69,66,-21.489999771118164,5e-05,-0.0053965835283937245,0.005254698,0.9981104731559753,0.2,-0.8192578503241141,0.06722005208333333,-0.005648964084684849,0.041376466816291216,975
274432,101,2695,386.67,67,-21.549999237060547,5e-05,-0.007163092717140292,0.0066400245,0.9987065196037292,0.2,-0.7944853663444519,0.053238932291666666,-0.025237135589122772,0.03744406735834976,990
278528,101,2749,387.98,68,-21.584999084472656,5e-05,-0.005742611809788893,0.0051222406,0.9980765581130981,0.2,-0.789216144879659,0.05263671875,-0.006802485324442387,0.035737354731342444,1005
282624,100,2806,389.02,69,-21.885000228881836,5e-05,-0.0071570593946186515,0.005223697,0.9989432692527771,0.2,-0.7732086443652709,0.06984049479166667,-0.017551274970173836,0.023051144742445708,1020
286720,100,2857,390.2,70,-21.934999465942383,5e-05,-0.0038963085071979245,0.0062968205,0.964126467704773,0.2,-0.7718325154234965,0.06142578125,0.002245580777525902,0.12302952936346022,1035
