time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_fraction
3086,74,200.67,303104,98,47.80032730102539,1.0089778900146484,5e-05,-0.47439892223725716,1.7508332932988802,1095,0.2,0.9649832844734192,0.0064522116,-0.0028862110285748106,0.0546875
3147,75,197.63,307200,97,47.8233757019043,0.3932325839996338,5e-05,-0.4631698748717705,1.2347476481149593,1110,0.2,0.9883636236190796,0.0037929127,-0.0016482347675870793,0.05035807291666667
3213,76,195.18,311296,96,47.82582092285156,0.3571872115135193,5e-05,-0.4700996578981479,1.0007088226576646,1125,0.2,0.988701581954956,0.004464438,-0.001934870328841498,0.045979817708333336
3279,77,193.57,315392,96,49.807430267333984,0.26969075202941895,5e-05,-0.4094309059903026,0.9223838261639078,1140,0.2,0.9923630952835083,0.0076741762,-0.003985896803593884,0.05986328125
3347,78,192.81,319488,95,49.808189392089844,0.3607032299041748,5e-05,-0.38127815344681343,0.8004237440725167,1155,0.2,0.9924660325050354,0.002319454,-0.001808367290990039,0.037093098958333334
3409,79,188.47,323584,94,49.81253433227539,0.9384473562240601,5e-05,-0.376729841530323,0.9432439797868332,1170,0.2,0.992483377456665,0.0057208533,-0.0018545960134360938,0.03933919270833333
3473,80,191.4,327680,94,48.8296012878418,0.539951503276825,5e-05,-0.39065319324533143,0.8460851994653543,1185,0.2,0.9898266792297363,0.0064338073,-0.0026153256845039626,0.053873697916666664
3534,81,194.94,331776,93,48.78606033325195,0.3944142758846283,5e-05,-0.41515633668750523,3.8941065719972054,1200,0.2,0.9149391055107117,0.0031937286,-0.001712490789820246,0.045572916666666664
3608,82,194.65,335872,93,47.786346435546875,0.33628833293914795,5e-05,-0.393473444879055,0.9174753575896223,1215,0.2,0.991066038608551,0.002200908,-0.001551232453493867,0.053483072916666666
3680,83,196.43,339968,92,47.78456115722656,0.48518478870391846,5e-05,-0.3841711934035023,2.461435052131613,1230,0.2,0.9513686299324036,0.0041328804,-0.0021804240360021746,0.069580078125
3752,84,197.63,344064,91,47.76337432861328,0.607510507106781,5e-05,-0.3599909252797564,1.1079450693602364,1245,0.2,0.9830403327941895,0.0027339766,-0.0003350425125972833,0.039013671875
3828,85,191.54,348160,90,48.76946258544922,0.37453365325927734,5e-05,-0.35367791963120304,0.8238768295695384,1260,0.2,0.9919773936271667,0.003228517,-0.001851259214405824,0.050618489583333336
3903,86,188.49,352256,90,48.79251480102539,0.35175687074661255,5e-05,-0.3412763200700283,0.7216218801836173,1275,0.2,0.9927810430526733,0.005081444,-0.0016159446437086443,0.0427734375
3974,87,184.78,356352,89,48.79621887207031,0.2600157856941223,5e-05,-0.3201998088819285,0.9050220621128877,1290,0.2,0.9918047189712524,0.0029404727,-0.0019964239370892757,0.04449869791666667
4043,88,182.52,360448,89,48.818485260009766,0.3752526640892029,5e-05,-0.30406730230897666,3.7417515687644483,1305,0.2,0.9127957224845886,0.0047914125,-0.000659817160340026,0.024755859375
4115,89,180.76,364544,88,48.840240478515625,0.4450143277645111,5e-05,-0.2912553484551609,1.0427579566836358,1320,0.2,0.9851552844047546,0.0061071236,-0.0007937219367401364,0.037613932291666666
4183,90,177.39,368640,88,48.84360885620117,0.4284723997116089,5e-05,-0.2681874996672074,0.946537496894598,1335,0.2,0.991938054561615,0.0017874703,-0.001586369376066917,0.022916666666666665
