#{"t_start": 1744830877.801953, "env_id": "None"}
r,l,t
-22.266,267,1006.122463
-23.293,294,1007.609596
-23.267,268,1008.078637
-23.298,299,1013.922369
-23.781,282,1016.466952
-23.777,278,1018.278473
-48.785,286,1018.576971
-48.769,270,1024.021179
-23.285,286,1027.307273
-23.281,282,1028.702106
-48.798,299,1029.910259
-22.279,280,1034.270109
-23.305,306,1039.388787
-23.798,299,1040.510174
-48.814,315,1041.683939
-23.77,271,1045.884413
-23.772,273,1051.105749
-22.798,299,1052.192474
-22.785,286,1053.365773
-23.282999,284,1059.144272
49.755,246,1062.324196
45.714,287,1062.481894
-23.8,301,1064.125712
-48.778,279,1066.606659
-23.282999,284,1069.5107
49.718,283,1070.540813
-23.8,301,1073.623528
-23.293,294,1076.250346
-23.277,278,1079.045308
-23.284,285,1081.289502
-23.796999,298,1084.589561
-54.283,284,1085.217064
-23.81,311,1091.616581
-23.786,287,1092.764719
-48.805,306,1097.69807
-23.294,295,1099.0524
-22.299,300,1103.6634
-48.799,300,1104.609638
-48.798,299,1108.878425
-23.307999,309,1110.770427
47.731,270,1113.555408
-48.284,285,1114.778855
49.721,280,1118.97459
49.723,278,1120.263086
-23.784,285,1123.350654
-22.806,307,1126.102874
-48.285,286,1128.720364
49.719,282,1130.673347
-52.247,248,1133.525295
53.763,238,1134.29723
47.704,297,1138.190035
49.745,256,1138.345603
-48.291,292,1142.284935
49.727,274,1143.657419
47.737,264,1148.002084
-23.817,318,1149.698394
-23.307,308,1153.44436
-23.799,300,1154.825771
-48.264,265,1158.663984
-22.796999,298,1159.863128
49.74,261,1162.683442
-23.296,297,1165.002107
-23.287,288,1171.698886
53.732,269,1173.074066
49.73,271,1175.254152
49.706,295,1176.452921
-22.794,295,1181.712996
49.725,276,1183.120335
47.728,273,1183.336228
47.688,313,1189.28103
-52.284,285,1191.78506
49.74,261,1192.104456
-48.298,299,1194.466191
-48.29,291,1198.346459
47.728,273,1199.210918
-48.281,282,1200.050377
51.702,299,1207.307654
-48.263,264,1208.716731
-52.239,240,1210.790305
47.731,270,1210.982356
49.729,272,1217.220845
47.725,276,1218.354625
51.736,265,1220.305915
49.713,288,1220.965652
-23.816,317,1228.022058
47.729,272,1228.191214
-22.802,303,1230.70908
-52.284,285,1232.075199
-52.273,274,1235.005279
-52.266,267,1236.329795
49.713,288,1238.727216
-23.299,300,1243.426453
-56.277,278,1247.605793
-48.3,301,1249.261285
47.735,266,1251.96683
47.764,237,1252.175029
49.76,241,1256.68178
49.693,308,1261.536488
-23.278,279,1262.590441
51.723,278,1262.771258
-23.807,308,1269.052513
49.743,258,1272.092737
-54.299,300,1274.588733
-23.303,304,1276.128267
-23.291,292,1281.188003
-23.78,281,1284.859107
49.711,290,1287.227412
49.714,287,1288.607908
-48.297,298,1294.444847
51.733,268,1294.605559
51.8,201,1296.49454
49.733,268,1297.896437
-48.267,268,1304.351758
49.714,287,1305.561853
-48.284,285,1305.733363
-52.294,295,1307.081132
-23.293,294,1314.099208
47.713,288,1315.512942
49.737,264,1315.654642
-48.275,276,1317.76177
-23.768,269,1327.589196
49.738,263,1328.688991
49.73,271,1328.924541
49.745,256,1329.962801
