time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
63488,606.78,10809.24,179,352,31,300,0.2,0.0003,0.035498046875,42037.703125,85003.92958984376,-2.384185791015625e-07,-1.03451510053128,-0.0035811844049021603,0.0069555463
65536,608.42,10884.86,179,365,32,310,0.2,0.0003,0.011962890625,44276.60546875,86130.64731445312,0.0,-1.0806986251845956,-0.004077510861679912,0.003685784
67584,610.99,10965.71,178,378,33,320,0.2,0.0003,0.0337890625,43153.87890625,86463.19682617187,1.7881393432617188e-07,-1.0251232381910085,-0.008190962400112767,0.0057173725
69632,614.77,11094.23,177,392,34,330,0.2,0.0003,0.00166015625,41192.06640625,84836.80817871094,-1.1920928955078125e-07,-1.0513314038515091,-0.003359459912462626,0.001680236
71680,617.61,11233.56,176,405,35,340,0.2,0.0003,0.006689453125,67670.546875,142270.01220703125,1.1920928955078125e-07,-1.04028610419482,-0.004110821399081033,0.0033464986
73728,618.18,11319.7,175,420,36,350,0.2,0.0003,0.00078125,51084.75390625,93362.44426269531,0.0,-1.0401469372212886,-0.0034639548270206434,0.0019225804
75776,622.31,11485.56,173,437,37,360,0.2,0.0003,0.021826171875,47300.58203125,91943.24892578126,-1.1920928955078125e-07,-1.0250721739605069,-0.006121870163769927,0.0057706707
77824,625.14,11631.32,171,452,38,370,0.2,0.0003,0.00712890625,48236.125,93905.42888183593,0.0,-0.9696324871852994,-0.005953235164633952,0.0031174703
79872,628.8,11863.78,170,468,39,380,0.2,0.0003,0.014990234375,40662.54296875,92110.02595214844,-1.1920928955078125e-07,-0.9824842847883701,-0.004516294633504003,0.0030657575
81920,630.43,11989.99,169,483,40,390,0.2,0.0003,0.012548828125,53928.84375,109058.04780273438,1.1920928955078125e-07,-0.9873639406636358,-0.004763657630974194,0.0052555413
83968,629.36,12140.36,169,495,41,400,0.2,0.0003,0.007568359375,47899.54296875,95605.48911132812,-1.1920928955078125e-07,-0.9798617256805301,-0.004389421700398089,0.003753799
86016,633.09,12278.7,169,508,42,410,0.2,0.0003,0.008251953125,60643.4453125,116818.97626953125,0.0,-0.9403292855247856,-0.0054460799736261835,0.0028730917
88064,636.74,12444.83,169,519,43,420,0.2,0.0003,0.04169921875,43121.2265625,91021.77604980468,-1.1920928955078125e-07,-0.9431737653911114,-0.006876937601191457,0.00566465
90112,639.63,12647.89,167,538,44,430,0.2,0.0003,0.019384765625,43621.6015625,97759.24282226563,2.384185791015625e-07,-0.963742458820343,-0.006036520814814139,0.003220666
92160,640.59,12779.0,167,549,45,440,0.2,0.0003,0.0087890625,64729.0078125,135291.367578125,0.0,-0.9473255809396506,-0.00393985059345141,0.0029958766
94208,640.49,12908.9,168,560,46,450,0.2,0.0003,0.00517578125,52141.3515625,108833.00932617187,0.0,-0.8913417264819146,-0.004010221955832094,0.003145466
96256,645.42,13106.45,166,579,47,460,0.2,0.0003,0.062548828125,60321.69140625,127126.05827636718,1.1920928955078125e-07,-0.8126792659983039,-0.008512959190193214,0.0072219307
98304,649.46,13221.53,164,596,48,470,0.2,0.0003,0.010302734375,64251.43359375,121333.71921386718,0.0,-0.9044565616175533,-0.0050932706886669624,0.0038778333
100352,654.31,13421.41,163,615,49,480,0.2,0.0003,0.013037109375,37764.0,81282.11879882813,0.0,-0.8757284825667739,-0.004276449008466443,0.003149763
102400,656.75,13550.87,161,632,50,490,0.2,0.0003,0.00732421875,48119.57421875,93990.69343261719,5.960464477539063e-08,-0.8959029126912356,-0.0042792254196683645,0.0023025067
104448,660.9,13819.51,160,652,51,500,0.2,0.0003,0.024267578125,55406.80078125,104165.30109863282,0.0,-0.8668896460905671,-0.00509188911964884,0.0038086502
106496,662.23,13967.44,158,672,52,510,0.2,0.0003,0.005615234375,83709.8984375,177430.6859375,5.960464477539063e-08,-0.8385554129257798,-0.003903413558145985,0.0021101728
108544,665.44,14117.55,156,692,53,520,0.2,0.0003,0.008056640625,73216.0,134457.37783203126,-1.1920928955078125e-07,-0.8035912647843361,-0.0027361864915292243,0.0022434597
110592,666.26,14279.15,155,712,54,530,0.2,0.0003,0.007763671875,57926.515625,113845.24809570312,0.0,-0.9371924217790365,-0.0033273180826654423,0.002543265
112640,666.71,14457.76,154,726,55,540,0.2,0.0003,0.026220703125,67813.3984375,167792.44165039062,1.7881393432617188e-07,-0.8293466426432132,-0.005651561398553895,0.004223547
114688,662.97,14532.94,153,748,56,550,0.2,0.0003,0.020068359375,91479.9453125,180803.09692382812,0.0,-0.7697220359928906,-0.005265082845289726,0.002736142
116736,665.01,14734.6,153,762,57,560,0.2,0.0003,0.01591796875,81723.8359375,149380.36960449218,-1.1920928955078125e-07,-0.799333174712956,-0.005326824204530567,0.0031012376
118784,663.88,14887.1,152,777,58,570,0.2,0.0003,0.01474609375,78932.9453125,164898.5141113281,0.0,-0.8277479566633701,-0.007004190326551907,0.0035226012
120832,663.18,14958.88,152,791,59,580,0.2,0.0003,0.02607421875,79381.4765625,162052.29140625,1.1920928955078125e-07,-0.8285836160182953,-0.005328143914812245,0.004269496
122880,659.01,15105.71,151,810,60,590,0.2,0.0003,0.003173828125,46950.6171875,103640.650390625,5.960464477539063e-08,-0.8581453798338771,-0.003166339424205944,0.0014173463
124928,659.55,15213.56,150,828,61,600,0.2,0.0003,0.01845703125,98653.1640625,235020.35620117188,-1.1920928955078125e-07,-0.7843152957037092,-0.004557054728502407,0.0038730039
126976,657.05,15224.79,149,847,62,610,0.2,0.0003,0.00634765625,50642.3671875,115920.76123046875,0.0,-0.8741219086572528,-0.004295473530510208,0.0025967795
129024,657.3,15388.86,148,869,63,620,0.2,0.0003,0.025048828125,47436.58203125,94685.4974609375,0.0,-0.8782869810238481,-0.005592336920381058,0.003850812
131072,656.62,15455.59,147,888,64,630,0.2,0.0003,0.0193359375,81959.9375,154615.57287597656,0.0,-0.9091975005343557,-0.00483277970488416,0.0042957086
133120,653.57,15425.24,147,904,65,640,0.2,0.0003,0.03291015625,50491.4296875,104379.66677246094,-1.1920928955078125e-07,-0.9224066341295838,-0.007407271352712996,0.0054887575
135168,651.29,15326.22,147,915,66,650,0.2,0.0003,0.03662109375,36087.25,79959.38798828125,0.0,-0.908099352568388,-0.004816616298921872,0.005523968
137216,649.49,15387.36,147,927,67,660,0.2,0.0003,0.008154296875,44851.55859375,87602.56860351562,-1.1920928955078125e-07,-0.8897309804335236,-0.004389300348702818,0.0021860246
139264,648.51,15406.93,147,946,68,670,0.2,0.0003,0.010107421875,56530.5546875,114076.36657714844,-1.1920928955078125e-07,-0.880053610727191,-0.006766517816868145,0.0026489007
141312,646.39,15577.14,147,958,69,680,0.2,0.0003,0.0162109375,51553.02734375,106004.29313964843,0.0,-0.8617494184523821,-0.005249477565666893,0.004749258
143360,645.66,15667.35,147,974,70,690,0.2,0.0003,0.007958984375,98711.46875,179053.93100585937,0.0,-0.8302005520090461,-0.0032370797285693697,0.0019239848
145408,643.2,15755.85,146,994,71,700,0.2,0.0003,0.011279296875,90145.0,160797.93564453124,1.7881393432617188e-07,-0.7873610716313124,-0.003939766605617479,0.0030907253
147456,639.33,15707.39,145,1010,72,710,0.2,0.0003,0.048291015625,83050.8046875,175730.33662109374,0.0,-0.8204268420115113,-0.006561015269835479,0.0054009818
149504,632.28,15626.28,146,1022,73,720,0.2,0.0003,0.00751953125,62018.10546875,114583.77973632813,0.0,-0.8237445317208767,-0.005013285831228132,0.0028053499
151552,629.78,15748.82,145,1039,74,730,0.2,0.0003,0.008837890625,51337.9375,110086.13393554688,0.0,-0.7767493516206742,-0.0024903029603592585,0.0021876725
153600,629.51,15849.03,146,1051,75,740,0.2,0.0003,0.0435546875,112029.8046875,233226.32387695313,1.7881393432617188e-07,-0.7994137294590473,-0.004010038875276223,0.0056440462
155648,629.91,15859.97,145,1072,76,750,0.2,0.0003,0.01328125,100545.765625,172345.19990234374,-1.1920928955078125e-07,-0.8612505331635475,-0.005633424200641457,0.0023141617
157696,627.18,15879.72,145,1084,77,760,0.2,0.0003,0.013916015625,43916.4765625,91080.55625,0.0,-0.7815120654180646,-0.006151248395326547,0.0031676656
159744,624.14,15918.76,145,1101,78,770,0.2,0.0003,0.034423828125,94683.4140625,177502.3791015625,0.0,-0.7320133170112968,-0.008289502275874838,0.006223917
161792,619.86,15915.8,144,1122,79,780,0.2,0.0003,0.009716796875,53934.69921875,148910.54877929686,1.1920928955078125e-07,-0.79257753174752,-0.006039039701863658,0.0024803912
163840,617.97,15971.03,143,1144,80,790,0.2,0.0003,0.01328125,64077.85546875,122119.02431640626,0.0,-0.7441050268709659,-0.004870188106724527,0.0031612953
165888,617.14,15862.38,142,1160,81,800,0.2,0.0003,0.019384765625,62013.07421875,140560.26857910157,0.0,-0.814348816126585,-0.005561835478874855,0.003807452
167936,617.59,15871.78,142,1177,82,810,0.2,0.0003,0.023876953125,43034.55078125,97566.05209960937,0.0,-0.8958832861855626,-0.0064444397270563055,0.0035918353
169984,617.06,15865.73,142,1194,83,820,0.2,0.0003,0.014697265625,41226.6640625,80255.25021972656,0.0,-0.87200577724725,-0.005294756733928807,0.0029092869
172032,617.11,15764.84,141,1216,84,830,0.2,0.0003,0.01904296875,42249.109375,96578.33540039063,-1.1920928955078125e-07,-0.7970890479162336,-0.005279675470228539,0.0032067709
174080,614.11,15712.74,141,1229,85,840,0.2,0.0003,0.014892578125,45904.76171875,100017.28967285156,0.0,-0.8180830432102084,-0.0068258129533205645,0.0038580806
176128,613.5,15754.94,141,1246,86,850,0.2,0.0003,0.072412109375,60555.4140625,144299.1077392578,0.0,-0.7759055566042662,-0.007502035719517153,0.006019888
178176,608.39,15573.07,140,1265,87,860,0.2,0.0003,0.00615234375,78989.765625,177945.0638671875,1.1920928955078125e-07,-0.7669711338356138,-0.003259068560146261,0.0026985337
180224,604.0,15483.86,141,1278,88,870,0.2,0.0003,0.033544921875,55450.77734375,111232.20927734375,0.0,-0.786197735927999,-0.005535450346360449,0.004560764
182272,609.46,15644.17,140,1301,89,880,0.2,0.0003,0.05166015625,79707.828125,139462.24782714844,0.0,-0.8280774259939789,-0.005862304789479822,0.0057278452
184320,604.61,15354.5,140,1313,90,890,0.2,0.0003,0.021875,45222.01953125,94319.37155761718,0.0,-0.8378487143665552,-0.0036865551883238368,0.0041666203
186368,607.2,15412.02,139,1335,91,900,0.2,0.0003,0.04326171875,38318.7265625,80308.3657836914,0.0,-0.7981926145032048,-0.006588418363389792,0.005896243
188416,607.84,15441.33,138,1359,92,910,0.2,0.0003,0.032373046875,51922.59375,97045.71330566406,0.0,-0.7792769819498062,-0.005319115525344387,0.0056347493
190464,607.02,15390.72,137,1388,93,920,0.2,0.0003,0.064111328125,36285.19921875,81303.87071533203,0.0,-0.8353594288229942,-0.006083682403914281,0.009538092
192512,610.0,15434.83,136,1411,94,930,0.2,0.0003,0.009765625,51848.32421875,106686.99079589844,0.0,-0.7943305730819702,-0.0034870620889705605,0.002742874
194560,611.41,15477.42,135,1435,95,940,0.2,0.0003,0.028466796875,31988.85546875,67094.8395751953,0.0,-0.8548830736428499,-0.005506718046672176,0.0049336255
196608,612.92,15531.62,135,1453,96,950,0.2,0.0003,0.020703125,33421.12890625,72906.99537353516,0.0,-0.8165230704471469,-0.005815179007186089,0.004521141
198656,617.39,15602.21,134,1477,97,960,0.2,0.0003,0.015283203125,51035.69921875,92537.01989746094,0.0,-0.797502247709781,-0.005703894131147536,0.0032198988
200704,618.92,15738.88,133,1501,98,970,0.2,0.0003,0.02177734375,44292.62890625,87313.4349609375,1.1920928955078125e-07,-0.8017322085797787,-0.003690916017512791,0.0036012128
202752,617.2,15625.27,133,1520,99,980,0.2,0.0003,0.044384765625,92409.2890625,161302.74143066406,0.0,-0.790984664671123,-0.006616028786811512,0.0057273344
204800,621.78,15712.11,132,1551,100,990,0.2,0.0003,0.005029296875,46029.3359375,87730.17021484375,-1.1920928955078125e-07,-0.7633472161367536,-0.004127357553079492,0.002049495
206848,623.18,15752.9,131,1570,101,1000,0.2,0.0003,0.019091796875,52497.1171875,130489.78039550781,5.960464477539063e-08,-0.8282432056963444,-0.0038838103515445254,0.0045345295
208896,623.82,15794.78,131,1588,102,1010,0.2,0.0003,0.007177734375,90590.7109375,165926.9908203125,0.0,-0.7761893698945641,-0.0039554886447149325,0.0022931988
210944,628.56,15954.21,131,1607,103,1020,0.2,0.0003,0.009375,74009.2109375,140754.8787109375,0.0,-0.749416465125978,-0.004021758683666121,0.0028056097
212992,627.06,15974.6,131,1621,104,1030,0.2,0.0003,0.01162109375,62350.21875,123293.25151367187,0.0,-0.795470217615366,-0.003780051917419769,0.0030092879
215040,620.75,15716.29,131,1641,105,1040,0.2,0.0003,0.0158203125,55219.1640625,121338.2283203125,0.0,-0.7027470814064145,-0.004826557871274418,0.0021503312
217088,618.85,15637.85,131,1653,106,1050,0.2,0.0003,0.061279296875,70891.8046875,151694.49140625,0.0,-0.7009965294972063,-0.007672653689223807,0.007066109
219136,621.54,15730.98,131,1666,107,1060,0.2,0.0003,0.026611328125,49693.26953125,100408.90224609376,0.0,-0.7286083927378059,-0.007241778468596749,0.004045034
221184,624.89,15765.65,130,1692,108,1070,0.2,0.0003,0.035546875,64306.62890625,144206.69455566406,0.0,-0.7682276053354145,-0.0058351985753688496,0.0047730007
223232,628.86,15960.65,129,1724,109,1080,0.2,0.0003,0.017919921875,53452.01171875,108322.14096679687,0.0,-0.7447664929553867,-0.004702491052739788,0.0026941518
225280,627.88,15926.5,129,1744,110,1090,0.2,0.0003,0.017529296875,91534.0,146506.19372558594,0.0,-0.7518562844023109,-0.005158946423034649,0.0050376644
227328,630.37,15962.18,128,1764,111,1100,0.2,0.0003,0.01708984375,63592.1796875,115447.71401367188,-1.1920928955078125e-07,-0.7726212272420525,-0.005744266652618535,0.0016782351
229376,624.92,15840.89,128,1784,112,1110,0.2,0.0003,0.029150390625,41843.9453125,82414.48718261719,0.0,-0.7390064956620336,-0.007309854429331608,0.004966713
231424,625.41,15917.91,128,1803,113,1120,0.2,0.0003,0.0216796875,51598.8515625,94224.49177246094,0.0,-0.7356516249477864,-0.005386130456463434,0.00390258
233472,625.92,15984.72,127,1837,114,1130,0.2,0.0003,0.023828125,61148.00390625,106359.81955566406,5.960464477539063e-08,-0.757287985086441,-0.006572827514901292,0.0032217738
235520,627.64,16065.82,126,1857,115,1140,0.2,0.0003,0.047802734375,60428.2734375,106641.22553710938,0.0,-0.7274832295253872,-0.0065420272287155965,0.005487349
237568,626.5,15901.48,126,1878,116,1150,0.2,0.0003,0.009375,74703.046875,128083.64462890624,0.0,-0.7437063880264759,-0.005109420468215831,0.0036064782
