time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/explained_variance
524,356.66,253952,124,-20.23456,484,-0.00493266899138689,0.0003,0.2,-0.5481572029180825,-0.007765270490199328,0.012749332,0.03928016420977656,0.113818359375,1230,0.9971616864204407
530,356.16,256000,125,-19.941060000000004,482,-0.02122506871819496,0.0003,0.2,-0.5855669063515961,-0.00550700999883702,0.012013038,0.03511259364022408,0.112353515625,1240,0.9983648657798767
536,355.13,258048,126,-19.96293,480,-0.013082979246973991,0.0003,0.2,-0.576690013334155,-0.007754302234388888,0.028880117,0.025690766031038946,0.155419921875,1250,0.998216450214386
542,355.01,260096,127,-19.973409999999998,479,0.04815489798784256,0.0003,0.2,-0.5552766145206988,-0.005700326119404053,0.020473823,0.03534509568416979,0.131298828125,1260,0.9976509213447571
548,355.56,262144,128,-19.998359999999998,478,0.014533180743455887,0.0003,0.2,-0.5323271660134197,-0.004543922119773924,0.021907493,0.02931209338566987,0.137158203125,1270,0.9986858367919922
554,356.39,264192,129,-20.042689999999997,476,0.00940495915710926,0.0003,0.2,-0.5532358232885599,-0.003092705845847377,0.011153154,0.024494960806623566,0.10859375,1280,0.9985502362251282
559,358.67,266240,130,-20.058970000000002,475,0.03107123076915741,0.0003,0.2,-0.4787127968855202,-0.0013861407293006777,0.012473375,0.03237368436384713,0.093212890625,1290,0.9981419444084167
565,359.67,268288,131,-20.09557,474,-0.006937808357179165,0.0003,0.2,-0.4947223369963467,-0.004262835749250371,0.018117364,0.02672190495504765,0.12021484375,1300,0.9988927245140076
570,360.74,270336,132,-20.10164,473,0.0063915192149579525,0.0003,0.2,-0.4578132424503565,-0.00457286490527622,0.017271133,0.03552113606274361,0.112646484375,1310,0.9963397979736328
576,362.22,272384,133,-20.20962,472,0.03946078196167946,0.0003,0.2,-0.4482674507424235,-0.0008742881967918947,0.018748349,0.019416632228239906,0.117236328125,1320,0.9982636570930481
582,363.43,274432,134,-20.24383,471,0.03349202871322632,0.0003,0.2,-0.45529778888449074,-0.004612947524583433,0.0117660165,0.04203695039614104,0.094970703125,1330,0.9963570833206177
588,364.64,276480,135,-20.288039999999995,470,-0.009521709755063057,0.0003,0.2,-0.5040707011707127,-0.0007753691446851007,0.017402,0.02695950312190689,0.1265625,1340,0.994536280632019
594,365.08,278528,136,-20.35508,468,-0.018682284280657768,0.0003,0.2,-0.4823660749010742,-0.005999374252132839,0.016481224,0.04901656589645427,0.1041015625,1350,0.9955843091011047
600,366.27,280576,137,-20.39577,467,-0.01880970224738121,0.0003,0.2,-0.5523365989327431,-0.008739001510548405,0.014526868,0.03879623861794244,0.12294921875,1360,0.9978917837142944
606,368.01,282624,138,-20.98911,465,-0.04921077936887741,0.0003,0.2,-0.574883502908051,-0.007701048189483117,0.019139284,0.027550925896503032,0.14306640625,1370,0.9980392456054688
612,369.43,284672,139,-21.48853,464,0.10935591906309128,0.0003,0.2,-0.5961950998753309,-0.0020709423741209322,0.007943199,0.7569726911373437,0.089111328125,1380,0.8975319862365723
618,371.68,286720,140,-21.72348,463,0.0026635415852069855,0.0003,0.2,-0.5676105421036481,-0.008519504910509568,0.0074557653,0.3765995369700249,0.0744140625,1390,0.8744937181472778
624,373.11,288768,141,-21.738210000000002,462,-0.016162008047103882,0.0003,0.2,-0.5668965269811451,-0.007256327016693831,0.01384888,0.436735533317551,0.05341796875,1400,0.972021222114563
630,374.84,290816,142,-22.23554,461,0.017193837091326714,0.0003,0.2,-0.5734380989335477,-0.006435795907418651,0.0119565865,0.09265385837061331,0.120654296875,1410,0.9825534224510193
637,377.65,292864,143,-22.55245,459,0.003973416984081268,0.0003,0.2,-0.5788637092337012,-0.004815409134607762,0.0089820055,0.497486942645628,0.0830078125,1420,0.963498055934906
642,379.3,294912,144,-22.843499999999995,458,0.18046914041042328,0.0003,0.2,-0.5925448013469576,-0.0015926861986372387,0.013306667,0.5306863353820518,0.08798828125,1430,0.9599865674972534
648,380.39,296960,145,-23.104290000000002,457,0.016296260058879852,0.0003,0.2,-0.6121659001335502,-0.004076710364824976,0.01276469,0.3208018561999779,0.08271484375,1440,0.9843173027038574
655,379.94,299008,146,-23.391239999999996,456,0.026378093287348747,0.0003,0.2,-0.627372305188328,-0.003293761151144281,0.009681869,0.5371429595514201,0.103955078125,1450,0.9508477449417114
