rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/learning_rate
1355.4159574468083,155,343,53248,13,561.8936170212766,-0.00265077954827575,0.002627464,-1.022567107155919,29441.365783691406,0.3,0.024235308170318604,13676.54296875,0.0,120,0.00025
1437.365,151,377,57344,14,564.63,-0.001994941267184913,0.0017241831,-1.0128918308764696,35531.23974609375,0.3,0.055075764656066895,18635.52734375,0.0,130,0.00025
1603.7269999999999,148,412,61440,15,565.54,-0.003933654393040342,0.0052591367,-1.0235317621380091,16958.896942138672,0.3,0.21687322854995728,8298.7119140625,0.00048828125,140,0.00025
1810.22,145,449,65536,16,568.29,-0.0030366443243110552,0.0068138717,-1.0475833084434272,17819.131622314453,0.3,0.15361714363098145,8748.68359375,0.0002685546875,150,0.00025
1965.866,145,479,69632,17,571.39,-0.0019176620473444928,0.003515265,-1.0312906432896853,29001.402429199217,0.3,0.25035780668258667,15528.0537109375,0.0,160,0.00025
1993.8909999999998,146,503,73728,18,572.43,-0.0025504812561848666,0.0048555937,-1.0369019016623497,18751.58524169922,0.3,0.24568027257919312,8877.283203125,0.0015380859375,170,0.00025
2120.6949999999997,145,533,77824,19,576.44,-0.0049085679158451965,0.005302688,-1.0070830058306455,7396.640673828125,0.3,0.39014512300491333,3341.135009765625,0.0039794921875,180,0.00025
2166.332,146,558,81920,20,580.22,-0.0018177689613366964,0.0034292624,-1.0395563751459123,25347.452478027342,0.3,0.23182737827301025,12067.62890625,0.0,190,0.00025
2253.297,146,586,86016,21,586.79,-0.002761601949168835,0.0034160835,-1.0281741350889206,13092.37156982422,0.3,0.34075409173965454,6158.6142578125,0.0,200,0.00025
2365.366,144,623,90112,22,591.71,-0.003912310063606128,0.0071745915,-1.037238423526287,17479.39729614258,0.3,0.16130125522613525,7702.83642578125,0.00185546875,210,0.00025
2434.272,143,655,94208,23,597.61,-0.001450791783281602,0.0020319568,-1.0329048447310925,28182.808483886718,0.3,0.3384156823158264,12097.7158203125,0.0,220,0.00025
2423.809,143,683,98304,24,598.48,-0.001291672233492136,0.0013239254,-1.0120251018553972,16267.191973876954,0.3,0.2697522044181824,7106.7724609375,0.0,230,0.00025
2400.844,142,716,102400,25,599.86,-0.004057454137364402,0.00861405,-1.0234903398901225,15172.922729492188,0.3,0.3533170223236084,7423.57421875,0.0028564453125,240,0.00025
2285.7479999999996,140,759,106496,26,599.25,-0.004237864278547931,0.008415502,-1.046168977022171,9547.502752685547,0.3,0.5655171871185303,4139.16455078125,0.0105224609375,250,0.00025
2173.6919999999996,138,797,110592,27,598.48,-0.0034225317343953066,0.0063793715,-1.032239469513297,5953.900857543946,0.3,0.5310550332069397,2554.86279296875,0.0016845703125,260,0.00025
2133.3459999999995,138,830,114688,28,597.04,-0.004920973320258782,0.008168973,-1.0130462020635604,2467.3692573547364,0.3,0.7940292954444885,1059.135009765625,0.0067626953125,270,0.00025
2162.8419999999996,134,880,118784,29,599.25,-0.004824421714874916,0.009762045,-1.0081943180412054,16819.37595214844,0.3,0.477642297744751,8647.75,0.0091552734375,280,0.00025
2163.246,132,924,122880,30,598.65,-0.0023257252003531905,0.0035850422,-1.0704003930091859,18820.340545654297,0.3,0.4482691287994385,8618.21484375,0.0,290,0.00025
2160.4500000000003,131,963,126976,31,599.31,-0.004289903352764668,0.010083994,-1.0171843729913235,14895.13392944336,0.3,0.5462398529052734,5883.27490234375,0.0031005859375,300,0.00025
2188.292,130,1003,131072,32,597.48,-0.0018166207788453902,0.0028962898,-0.9962968215346336,23154.700354003908,0.3,0.4238777756690979,10697.4609375,7.32421875e-05,310,0.00025
2315.844,129,1045,135168,33,601.78,-0.001976152611314319,0.006166408,-1.0316266678273678,25909.125415039063,0.3,0.4016982316970825,13222.3896484375,0.001025390625,320,0.00025
2383.8469999999998,128,1086,139264,34,601.17,-0.004021705673949327,0.0074915374,-1.050553035736084,18565.10806274414,0.3,0.4906807541847229,9056.6103515625,0.0015380859375,330,0.00025
